"統計年月","區域別","村里","戶數","人口數","人口數-男","人口數-女","M20_34","F20_34","M35_49","F35_49","M50_64","F50_64","M65_79","F65_79","M80up","F80up","投票人口男","投票人口女"
"10309","苗栗縣頭份鎮","信義里","479","1097","587","510",127,111,148,123,152,107,43,53,13,23,483,417
"10309","苗栗縣頭份鎮","合興里","1062","3238","1644","1594",389,367,480,485,218,243,69,65,7,22,1163,1182
"10309","苗栗縣頭份鎮","和平里","445","1280","646","634",124,127,152,157,123,111,99,89,13,30,511,514
"10309","苗栗縣頭份鎮","土牛里","298","1080","552","528",132,119,124,99,117,101,62,61,15,31,450,411
"10309","苗栗縣頭份鎮","尖下里","929","3234","1701","1533",418,379,347,310,377,305,146,166,58,85,1346,1245
"10309","苗栗縣頭份鎮","尖山里","485","1666","848","818",209,222,186,165,192,148,84,95,25,39,696,669
"10309","苗栗縣頭份鎮","山下里","1418","4784","2401","2383",519,539,604,625,397,382,150,149,47,51,1717,1746
"10309","苗栗縣頭份鎮","廣興里","327","1098","579","519",126,110,114,102,151,101,67,60,22,35,480,408
"10309","苗栗縣頭份鎮","建國里","1425","4715","2306","2409",565,523,467,569,391,436,142,139,27,52,1592,1719
"10309","苗栗縣頭份鎮","後庄里","1558","4674","2384","2290",533,578,674,626,368,345,111,117,27,43,1713,1709
"10309","苗栗縣頭份鎮","忠孝里","1342","4181","2023","2158",435,499,445,512,339,369,157,191,34,54,1410,1625
"10309","苗栗縣頭份鎮","成功里","1475","4910","2374","2536",566,589,531,612,359,458,144,140,23,39,1623,1838
"10309","苗栗縣頭份鎮","文化里","1331","4081","1997","2084",484,499,537,544,285,320,96,107,25,24,1427,1494
"10309","苗栗縣頭份鎮","斗煥里","1141","3769","1938","1831",498,435,442,376,347,373,166,197,54,39,1507,1420
"10309","苗栗縣頭份鎮","新華里","1305","4564","2359","2205",551,503,532,462,462,430,231,244,76,82,1852,1721
"10309","苗栗縣頭份鎮","東庄里","1329","3693","1867","1826",475,427,446,406,358,386,160,186,38,64,1477,1469
"10309","苗栗縣頭份鎮","民族里","912","2406","1179","1227",278,289,287,322,216,230,107,118,25,32,913,991
"10309","苗栗縣頭份鎮","民權里","761","2342","1223","1119",297,265,291,232,235,233,126,119,28,46,977,895
